"link_id","road_side","detector_id","latitude","longitude","calculated_mm"
571,"e",536,36.119004,-86.726001,53
572,"e",537,36.114464,-86.724763,53.3
574,"e",538,36.110477,-86.722541,53.61
576,"e",539,36.107017,-86.719925,53.9
579,"e",540,36.104779,-86.71632,54.16
580,"e",541,36.102936,-86.714104,54.34
582,"e",542,36.09933,-86.710438,54.65
584,"e",543,36.094672,-86.706628,55.02
586,"e",544,36.091829,-86.704242,55.26
587,"e",545,36.087622,-86.701631,55.59
589,"e",546,36.082305,-86.698068,56.01
591,"e",547,36.075543,-86.6939,56.52
593,"e",548,36.069395,-86.689802,56.99
596,"e",549,36.065692,-86.68533,57.36
598,"e",550,36.062093,-86.681581,57.68
599,"e",551,36.057303,-86.677281,58.08
602,"e",552,36.055648,-86.6749,58.26
604,"e",554,36.052087,-86.670166,58.63
607,"e",555,36.047865,-86.662795,59.14
665,"e",557,36.04512,-86.658609,59.44
611,"e",559,36.040306,-86.650882,59.97
613,"e",560,36.036668,-86.645744,60.37
616,"e",561,36.034707,-86.643648,60.55
618,"e",562,36.030293,-86.63784,61
620,"e",563,36.024612,-86.631409,61.6
621,"e",564,36.018175,-86.624302,62.23
623,"e",565,36.013197,-86.619579,62.63
625,"e",566,36.007983,-86.613761,63.08
628,"e",567,36.00317,-86.607505,63.55
630,"e",568,35.99865,-86.601394,64.01
632,"e",569,35.994472,-86.594873,64.47
633,"e",570,35.989068,-86.587324,65.01
657,"e",591,35.986957,-86.583555,65.27
637,"e",572,35.983627,-86.579024,65.6
658,"e",592,35.97922,-86.575513,65.93
661,"e",593,35.972881,-86.570248,66.47
662,"e",594,35.969585,-86.568095,66.73
640,"e",574,35.966835,-86.56617,66.95
642,"e",576,35.962373,-86.563059,67.29
644,"e",578,35.956953,-86.557427,67.79
645,"e",579,35.951485,-86.551335,68.31
648,"e",582,35.945453,-86.544584,68.89
650,"e",584,35.940129,-86.538687,69.39
651,"e",585,35.935228,-86.533196,69.84
653,"e",587,35.929697,-86.5271,70.35
321,"e",259,35.92604,-86.5231,70.69
331,"e",267,35.920652,-86.51588,71.24
337,"e",271,35.91384,-86.50828,71.87
343,"e",276,35.90861,-86.50243,72.36
569,"e",279,35.90326,-86.49651,72.86
355,"e",283,35.89808,-86.49166,73.3
361,"e",287,35.89231,-86.4853,73.83
369,"e",291,35.88723,-86.47966,74.3
377,"e",295,35.88275,-86.47474,74.71
384,"e",299,35.87706,-86.46863,75.24
392,"e",304,35.87151,-86.4623,75.81
400,"e",307,35.86583,-86.456,76.33
408,"e",311,35.86101,-86.45083,76.75
416,"e",315,35.85581,-86.44508,77.21
424,"e",319,35.85279,-86.44183,77.49
432,"e",323,35.84494,-86.43316,78.21
439,"e",327,35.83895,-86.42563,78.8
446,"e",331,35.83359,-86.41968,79.3
454,"e",335,35.82824,-86.4148,79.77
462,"e",340,35.82303,-86.40814,80.29
468,"e",343,35.8176,-86.40215,80.78
570,"w",536,36.119004,-86.726001,53
573,"w",537,36.114464,-86.724763,53.3
575,"w",538,36.110477,-86.722541,53.61
577,"w",539,36.107017,-86.719925,53.9
578,"w",540,36.104779,-86.71632,54.16
581,"w",542,36.09933,-86.710438,54.65
583,"w",543,36.094672,-86.706628,55.02
585,"w",544,36.091829,-86.704242,55.26
588,"w",545,36.087622,-86.701631,55.59
590,"w",546,36.082305,-86.698068,56.01
592,"w",547,36.075543,-86.6939,56.52
594,"w",548,36.069395,-86.689802,56.99
595,"w",549,36.065692,-86.68533,57.36
597,"w",550,36.062093,-86.681581,57.68
600,"w",551,36.057303,-86.677281,58.08
601,"w",552,36.055648,-86.6749,58.26
603,"w",554,36.052087,-86.670166,58.63
605,"w",553,36.050515,-86.667918,58.8
606,"w",555,36.047865,-86.662795,59.14
608,"w",556,36.04648,-86.660981,59.28
666,"w",558,36.042623,-86.654341,59.73
612,"w",559,36.040306,-86.650882,59.97
614,"w",560,36.036668,-86.645744,60.37
615,"w",561,36.034707,-86.643648,60.55
617,"w",562,36.030293,-86.63784,61
619,"w",563,36.024612,-86.631409,61.6
622,"w",564,36.018175,-86.624302,62.23
624,"w",565,36.013197,-86.619579,62.63
626,"w",566,36.007983,-86.613761,63.08
627,"w",567,36.00317,-86.607505,63.55
629,"w",568,35.99865,-86.601394,64.01
655,"w",589,35.996039,-86.597873,64.27
667,"w",569,35.994472,-86.594873,64.47
656,"w",590,35.991746,-86.591131,64.74
634,"w",570,35.989068,-86.587324,65.01
635,"w",571,35.988248,-86.585529,65.13
636,"w",572,35.983627,-86.579024,65.6
659,"w",592,35.97922,-86.575513,65.93
638,"w",573,35.975742,-86.571957,66.25
660,"w",593,35.972881,-86.570248,66.47
663,"w",594,35.969585,-86.568095,66.73
639,"w",574,35.966835,-86.56617,66.95
641,"w",575,35.96246,-86.562033,67.33
643,"w",577,35.957526,-86.556708,67.8
646,"w",580,35.953409,-86.552115,68.19
664,"w",595,35.950181,-86.548541,68.5
647,"w",581,35.945981,-86.543868,68.9
649,"w",583,35.942044,-86.539541,69.27
652,"w",586,35.936459,-86.533283,69.78
654,"w",588,35.933182,-86.529525,70.09
326,"w",263,35.92524,-86.52215,70.76
332,"w",267,35.920652,-86.51588,71.24
338,"w",271,35.91384,-86.50828,71.87
344,"w",276,35.90861,-86.50243,72.36
350,"w",279,35.90326,-86.49651,72.86
356,"w",283,35.89808,-86.49166,73.3
362,"w",287,35.89231,-86.4853,73.83
370,"w",291,35.88723,-86.47966,74.3
378,"w",295,35.88275,-86.47474,74.71
385,"w",299,35.87706,-86.46863,75.24
